종목코드,종목명,자산군,시장,총보수,안전자산,현재가,전일대비,등락률,갱신시각
0193M0,BNK 27-12 특수채(AAA이상)액티브,채권,국내,0.07,Y,50400,0,0.00,2026-09-07 09:46
466810,BNK 2차전지양극재,주식,국내,0.395,N,5925,-20,-0.34,2026-09-07 09:46
457930,BNK 미래전략기술액티브,주식,국내,0.495,N,27860,735,2.71,2026-09-07 09:46
0218K0,BNK 스마트카,주식,국내,0.45,N,10680,225,2.15,2026-09-07 09:46
487750,BNK 온디바이스AI,주식,국내,0.395,N,30665,955,3.21,2026-09-07 09:46
445690,BNK 주주가치액티브,주식,국내,0.495,N,29950,0,0.00,2026-09-07 09:46
0120J0,BNK 카카오그룹포커스,주식,국내,0.395,N,8115,-10,-0.12,2026-09-07 09:46
0112X0,마이티 200TR,주식,국내,0.05,N,41100,1285,3.23,2026-09-07 09:46
465780,마이티 26-09 특수채(AAA)액티브,채권,국내,0.06,Y,106430,0,0.00,2026-09-07 09:46
0191M0,마이티 5월만기자동연장특수채(AAA)액티브,채권,국내,0.06,Y,100755,0,0.00,2026-09-07 09:46
0222F0,마이티 AI데이터센터밸류체인,주식,국내,0.365,N,13080,365,2.87,2026-09-07 09:46
442260,마이티 다이나믹퀀트액티브,주식,국내,0.295,N,38005,1155,3.13,2026-09-07 09:46
0001P0,마이티 바이오시밀러&CDMO액티브,주식,국내,0.805,N,9000,-75,-0.83,2026-09-07 09:46
159800,마이티 코스피100,주식,국내,0.375,N,86810,3035,3.62,2026-09-07 09:46
472840,IBK 200,주식,국내,0.08,N,108570,3565,3.40,2026-09-07 09:46
0005G0,IBK K-AI반도체코어테크,주식,국내,0.28,N,52000,2100,4.21,2026-09-07 09:46
0178H0,IBK 미국AI TOP10국채혼합50,혼합자산,국내&해외,0.25,Y,9840,-80,-0.81,2026-09-07 09:46
0135Y0,IBK 중기종합채권(AA-이상)액티브,채권,국내,0.041,Y,100450,0,0.00,2026-09-07 09:46
0221V0,IBK 초단기채권액티브,채권,국내,0.05,Y,100465,0,0.00,2026-09-07 09:46
0191S0,IBK 코스닥150,주식,국내,0.105,N,14240,200,1.42,2026-09-07 09:46
0208N0,IBK 코스피액티브,주식,국내,0.415,N,7575,245,3.34,2026-09-07 09:46
361580,RISE 200TR,주식,국내,0.012,N,62150,2080,3.46,2026-09-07 09:46
290080,RISE 200고배당커버드콜ATM,주식,국내,0.4,N,7550,-75,-0.98,2026-09-07 09:46
284980,RISE 200금융,주식,국내,0.19,N,23075,195,0.85,2026-09-07 09:46
252400,RISE 200선물레버리지,주식,국내,0.022,N,102410,6730,7.03,2026-09-07 09:46
252420,RISE 200선물인버스2X,주식,국내,0.022,N,78,-7,-8.24,2026-09-07 09:46
252410,RISE 200선물인버스,주식,국내,0.022,N,1302,-39,-2.91,2026-09-07 09:46
475720,RISE 200위클리커버드콜,주식,국내,0.3,N,12625,160,1.28,2026-09-07 09:46
148020,RISE 200,주식,국내,0.017,N,110140,3720,3.50,2026-09-07 09:46
183700,RISE 200채권혼합50,혼합자산,국내,0.2,Y,96645,1500,1.58,2026-09-07 09:46
0122W0,RISE 26-11 회사채(AA-이상)액티브,채권,국내,0.05,Y,51005,-10,-0.02,2026-09-07 09:46
465330,RISE 2차전지TOP10,주식,국내,0.07,N,11425,0,0.00,2026-09-07 09:46
465350,RISE 2차전지TOP10인버스(합성),주식,국내,0.49,N,16145,-15,-0.09,2026-09-07 09:46
422420,RISE 2차전지액티브,주식,국내,0.35,N,6750,25,0.37,2026-09-07 09:46
105780,RISE 5대그룹주,주식,국내,0.4,N,16930,450,2.73,2026-09-07 09:46
469070,RISE AI&로봇,주식,국내,0.4,N,11415,305,2.75,2026-09-07 09:46
0093A0,RISE AI반도체TOP10,주식,국내,0.2,N,34160,1945,6.04,2026-09-07 09:46
0101N0,RISE AI전력인프라,주식,국내,0.2,N,19840,860,4.53,2026-09-07 09:46
427120,RISE AI플랫폼,주식,국내,0.45,N,5330,-5,-0.09,2026-09-07 09:46
477080,RISE CD금리액티브(합성),기타,국내,0.02,Y,107505,0,0.00,2026-09-07 09:46
290130,RISE ESG사회책임투자,주식,국내,0.3,N,47585,1625,3.54,2026-09-07 09:46
367770,RISE 수소경제테마,주식,국내,0.45,N,22590,450,2.03,2026-09-07 09:46
326240,RISE IT플러스,주식,국내,0.4,N,43960,1370,3.22,2026-09-07 09:46
385560,RISE KIS국고채30년Enhanced,채권,국내,0.05,Y,51215,-40,-0.08,2026-09-07 09:46
479520,RISE KOFR금리액티브(합성),기타,국내,0.02,Y,106400,-10,-0.01,2026-09-07 09:46
270800,RISE KQ고배당,주식,국내,0.3,N,15445,175,1.15,2026-09-07 09:46
292050,RISE KRX300,주식,국내,0.05,N,49660,1710,3.57,2026-09-07 09:46
388280,RISE K엔터&여행레저,주식,국내,0.45,N,7255,25,0.35,2026-09-07 09:46
0192L0,RISE SK하이닉스단일종목레버리지,주식,국내,0.0901,N,9160,940,11.44,2026-09-07 09:46
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),혼합자산,해외,0.25,Y,7585,-165,-2.13,2026-09-07 09:46
234310,RISE V&S셀렉트밸류,주식,국내,0.3,N,28735,550,1.95,2026-09-07 09:46
