날짜,매매기준율
2025-07-31,1382.90
2025-08-01,1390.40
2025-08-04,1399.30
2025-08-05,1384.90
2025-08-06,1386.70
2025-08-07,1389.50
2025-08-08,1384.20
2025-08-11,1386.00
2025-08-12,1388.30
2025-08-13,1390.20
2025-08-14,1383.80
2025-08-18,1382.20
2025-08-19,1385.30
2025-08-20,1389.40
2025-08-21,1397.50
2025-08-22,1398.10
2025-08-25,1395.60
2025-08-26,1386.30
2025-08-27,1391.20
2025-08-28,1395.70
2025-08-29,1388.60
2025-09-01,1387.70
2025-09-02,1392.40
2025-09-03,1392.20
2025-09-04,1393.80
2025-09-05,1392.70
2025-09-08,1391.80
2025-09-09,1390.40
2025-09-10,1386.60
2025-09-11,1387.60
2025-09-12,1389.40
2025-09-15,1388.70
2025-09-16,1389.50
2025-09-17,1382.30
2025-09-18,1380.00
2025-09-19,1384.60
2025-09-22,1393.60
2025-09-23,1394.00
2025-09-24,1393.80
2025-09-25,1394.90
2025-09-26,1400.40
2025-09-29,1411.60
2025-09-30,1402.20
2025-10-01,1403.20
2025-10-02,1406.00
2025-10-10,1401.90
2025-10-13,1420.50
2025-10-14,1427.70
2025-10-15,1428.40
2025-10-16,1424.40
2025-10-17,1419.10
2025-10-20,1419.50
2025-10-21,1420.20
2025-10-22,1423.70
2025-10-23,1430.10
2025-10-24,1436.60
2025-10-27,1436.10
2025-10-28,1432.50
2025-10-29,1434.30
2025-10-30,1433.00
2025-10-31,1423.20
2025-11-03,1427.40
2025-11-04,1429.00
2025-11-05,1437.70
2025-11-06,1447.00
2025-11-07,1445.60
2025-11-10,1454.00
2025-11-11,1453.70
2025-11-12,1463.20
2025-11-13,1466.40
2025-11-14,1469.50
2025-11-17,1458.50
2025-11-18,1458.30
2025-11-19,1465.20
2025-11-20,1465.00
2025-11-21,1468.40
2025-11-24,1472.00
2025-11-25,1473.50
2025-11-26,1473.50
2025-11-27,1462.70
2025-11-28,1464.80
2025-12-01,1465.90
2025-12-02,1469.10
2025-12-03,1469.60
2025-12-04,1468.70
2025-12-05,1471.50
2025-12-08,1472.10
2025-12-09,1469.00
2025-12-10,1470.40
2025-12-11,1470.40
2025-12-12,1469.50
2025-12-15,1472.50
2025-12-16,1474.10
2025-12-17,1472.40
2025-12-18,1478.60
2025-12-19,1477.20
2025-12-22,1477.80
2025-12-23,1478.90
2025-12-24,1483.40
2025-12-26,1460.60
2025-12-29,1442.30
2025-12-30,1433.90
2025-12-31,1434.90
2026-01-02,1434.90
2026-01-05,1442.10
2026-01-06,1446.80
2026-01-07,1445.70
2026-01-08,1448.30
2026-01-09,1449.40
2026-01-12,1455.70
2026-01-13,1464.10
2026-01-14,1472.80
2026-01-15,1477.50
2026-01-16,1469.70
2026-01-19,1473.50
2026-01-20,1473.60
2026-01-21,1477.00
2026-01-22,1472.80
2026-01-23,1468.40
2026-01-26,1467.20
2026-01-27,1442.80
2026-01-28,1448.80
2026-01-29,1428.60
2026-01-30,1427.00
2026-02-02,1436.70
2026-02-03,1457.30
2026-02-04,1449.00
2026-02-05,1451.20
2026-02-06,1464.10
2026-02-09,1470.30
2026-02-10,1464.30
2026-02-11,1457.70
2026-02-12,1454.40
2026-02-13,1443.40
2026-02-19,1443.10
2026-02-20,1450.70
2026-02-23,1448.70
2026-02-24,1442.00
2026-02-25,1445.80
2026-02-26,1435.30
2026-02-27,1424.50
2026-03-03,1435.40
2026-03-04,1464.50
2026-03-05,1478.80
2026-03-06,1464.30
2026-03-09,1474.50
2026-03-10,1493.10
2026-03-11,1472.80
2026-03-12,1467.30
2026-03-13,1479.80
2026-03-16,1489.50
2026-03-17,1496.00
2026-03-18,1491.60
2026-03-19,1486.00
2026-03-20,1499.70
2026-03-23,1494.90
2026-03-24,1509.60
2026-03-25,1498.30
2026-03-26,1495.60
2026-03-27,1506.20
2026-03-30,1508.10
2026-03-31,1513.40
2026-04-01,1530.50
2026-04-02,1507.80
2026-04-03,1518.80
2026-04-06,1507.60
2026-04-07,1507.20
2026-04-08,1506.80
2026-04-09,1476.10
2026-04-10,1481.10
2026-04-13,1479.80
2026-04-14,1489.80
2026-04-15,1481.40
2026-04-16,1473.10
2026-04-17,1472.60
2026-04-20,1480.00
2026-04-21,1475.60
2026-04-22,1470.80
2026-04-23,1477.60
2026-04-24,1480.60
2026-04-27,1482.90
2026-04-28,1473.10
2026-04-29,1473.30
2026-04-30,1476.10
2026-05-04,1484.80
2026-05-06,1470.50
2026-05-07,1456.80
2026-05-08,1450.80
2026-05-11,1466.00
2026-05-12,1473.00
2026-05-13,1484.30
2026-05-14,1495.10
2026-05-15,1491.80
2026-05-18,1499.80
2026-05-19,1503.40
2026-05-20,1503.80
2026-05-21,1509.70
2026-05-22,1503.50
2026-05-26,1513.30
2026-05-27,1507.90
2026-05-28,1501.60
2026-05-29,1505.80
2026-06-01,1503.20
2026-06-02,1511.30
2026-06-04,1515.60
2026-06-05,1528.60
2026-06-08,1543.00
2026-06-09,1546.50
2026-06-10,1518.40
2026-06-11,1522.40
2026-06-12,1527.00
2026-06-15,1520.40
2026-06-16,1510.00
2026-06-17,1513.50
2026-06-18,1512.80
2026-06-19,1523.40
2026-06-22,1535.00
2026-06-23,1535.70
2026-06-24,1537.20
2026-06-25,1538.30
2026-06-26,1545.30
2026-06-29,1544.20
2026-06-30,1541.50
2026-07-01,1548.40
2026-07-02,1554.40
2026-07-03,1554.10
2026-07-06,1539.70
2026-07-07,1531.80
2026-07-08,1526.60
2026-07-09,1509.90
2026-07-10,1504.20
2026-07-13,1507.10
2026-07-14,1504.90
2026-07-15,1492.20
2026-07-16,1488.80
2026-07-20,1484.30
2026-07-21,1482.00
2026-07-22,1475.60
2026-07-23,1480.90
2026-07-24,1469.40
2026-07-27,1466.30
2026-07-28,1465.40
2026-07-29,1466.20
2026-07-30,1450.10
2026-07-31,1441.10
2026-08-03,1433.60
2026-08-04,1429.90
2026-08-05,1428.20
2026-08-06,1424.80
2026-08-07,1418.80
2026-08-10,1420.10
2026-08-11,1415.30
2026-08-12,1415.00
2026-08-13,1415.00
2026-08-14,1414.90
2026-08-18,1415.20
2026-08-19,1411.00
2026-08-20,1402.50
2026-08-21,1393.00
2026-08-24,1383.60
2026-08-25,1380.60
2026-08-26,1383.10
2026-08-27,1384.60
2026-08-28,1380.30
2026-08-31,1376.50
2026-09-01,1373.60
2026-09-02,1370.30
2026-09-03,1369.40
2026-09-04,1359.50
