이름,날짜,종가
S&P 500,2021-08-30,4528.79
S&P 500,2021-08-31,4522.68
S&P 500,2021-09-01,4524.09
S&P 500,2021-09-02,4536.95
S&P 500,2021-09-03,4535.43
S&P 500,2021-09-07,4520.03
S&P 500,2021-09-08,4514.07
S&P 500,2021-09-09,4493.28
S&P 500,2021-09-10,4458.58
S&P 500,2021-09-13,4468.73
S&P 500,2021-09-14,4443.05
S&P 500,2021-09-15,4480.7
S&P 500,2021-09-16,4473.75
S&P 500,2021-09-17,4432.99
S&P 500,2021-09-20,4357.73
S&P 500,2021-09-21,4354.19
S&P 500,2021-09-22,4395.64
S&P 500,2021-09-23,4448.98
S&P 500,2021-09-24,4455.48
S&P 500,2021-09-27,4443.11
S&P 500,2021-09-28,4352.63
S&P 500,2021-09-29,4359.46
S&P 500,2021-09-30,4307.54
S&P 500,2021-10-01,4357.04
S&P 500,2021-10-04,4300.46
S&P 500,2021-10-05,4345.72
S&P 500,2021-10-06,4363.55
S&P 500,2021-10-07,4399.76
S&P 500,2021-10-08,4391.34
S&P 500,2021-10-11,4361.19
S&P 500,2021-10-12,4350.65
S&P 500,2021-10-13,4363.8
S&P 500,2021-10-14,4438.26
S&P 500,2021-10-15,4471.37
S&P 500,2021-10-18,4486.46
S&P 500,2021-10-19,4519.63
S&P 500,2021-10-20,4536.19
S&P 500,2021-10-21,4549.78
S&P 500,2021-10-22,4544.9
S&P 500,2021-10-25,4566.48
S&P 500,2021-10-26,4574.79
S&P 500,2021-10-27,4551.68
S&P 500,2021-10-28,4596.42
S&P 500,2021-10-29,4605.38
S&P 500,2021-11-01,4613.67
S&P 500,2021-11-02,4630.65
S&P 500,2021-11-03,4660.57
S&P 500,2021-11-04,4680.06
S&P 500,2021-11-05,4697.53
S&P 500,2021-11-08,4701.7
S&P 500,2021-11-09,4685.25
S&P 500,2021-11-10,4646.71
S&P 500,2021-11-11,4649.27
S&P 500,2021-11-12,4682.85
S&P 500,2021-11-15,4682.8
S&P 500,2021-11-16,4700.9
S&P 500,2021-11-17,4688.67
S&P 500,2021-11-18,4704.54
S&P 500,2021-11-19,4697.96
S&P 500,2021-11-22,4682.94
S&P 500,2021-11-23,4690.7
S&P 500,2021-11-24,4701.46
S&P 500,2021-11-26,4594.62
S&P 500,2021-11-29,4655.27
S&P 500,2021-11-30,4567.0
S&P 500,2021-12-01,4513.04
S&P 500,2021-12-02,4577.1
S&P 500,2021-12-03,4538.43
S&P 500,2021-12-06,4591.67
S&P 500,2021-12-07,4686.75
S&P 500,2021-12-08,4701.21
S&P 500,2021-12-09,4667.45
S&P 500,2021-12-10,4712.02
S&P 500,2021-12-13,4668.97
S&P 500,2021-12-14,4634.09
S&P 500,2021-12-15,4709.85
S&P 500,2021-12-16,4668.67
S&P 500,2021-12-17,4620.64
S&P 500,2021-12-20,4568.02
S&P 500,2021-12-21,4649.23
S&P 500,2021-12-22,4696.56
S&P 500,2021-12-23,4725.79
S&P 500,2021-12-27,4791.19
S&P 500,2021-12-28,4786.35
S&P 500,2021-12-29,4793.06
S&P 500,2021-12-30,4778.73
S&P 500,2021-12-31,4766.18
S&P 500,2022-01-03,4796.56
S&P 500,2022-01-04,4793.54
S&P 500,2022-01-05,4700.58
S&P 500,2022-01-06,4696.05
S&P 500,2022-01-07,4677.03
S&P 500,2022-01-10,4670.29
S&P 500,2022-01-11,4713.07
S&P 500,2022-01-12,4726.35
S&P 500,2022-01-13,4659.03
S&P 500,2022-01-14,4662.85
S&P 500,2022-01-18,4577.11
S&P 500,2022-01-19,4532.76
S&P 500,2022-01-20,4482.73
S&P 500,2022-01-21,4397.94
S&P 500,2022-01-24,4410.13
S&P 500,2022-01-25,4356.45
S&P 500,2022-01-26,4349.93
S&P 500,2022-01-27,4326.51
S&P 500,2022-01-28,4431.85
S&P 500,2022-01-31,4515.55
S&P 500,2022-02-01,4546.54
S&P 500,2022-02-02,4589.38
S&P 500,2022-02-03,4477.44
S&P 500,2022-02-04,4500.53
S&P 500,2022-02-07,4483.87
S&P 500,2022-02-08,4521.54
S&P 500,2022-02-09,4587.18
S&P 500,2022-02-10,4504.08
S&P 500,2022-02-11,4418.64
S&P 500,2022-02-14,4401.67
S&P 500,2022-02-15,4471.07
S&P 500,2022-02-16,4475.01
S&P 500,2022-02-17,4380.26
S&P 500,2022-02-18,4348.87
S&P 500,2022-02-22,4304.76
S&P 500,2022-02-23,4225.5
S&P 500,2022-02-24,4288.7
S&P 500,2022-02-25,4384.65
S&P 500,2022-02-28,4373.94
S&P 500,2022-03-01,4306.26
S&P 500,2022-03-02,4386.54
S&P 500,2022-03-03,4363.49
S&P 500,2022-03-04,4328.87
S&P 500,2022-03-07,4201.09
S&P 500,2022-03-08,4170.7
S&P 500,2022-03-09,4277.88
S&P 500,2022-03-10,4259.52
S&P 500,2022-03-11,4204.31
S&P 500,2022-03-14,4173.11
S&P 500,2022-03-15,4262.45
S&P 500,2022-03-16,4357.86
S&P 500,2022-03-17,4411.67
S&P 500,2022-03-18,4463.12
S&P 500,2022-03-21,4461.18
S&P 500,2022-03-22,4511.61
S&P 500,2022-03-23,4456.24
S&P 500,2022-03-24,4520.16
S&P 500,2022-03-25,4543.06
S&P 500,2022-03-28,4575.52
S&P 500,2022-03-29,4631.6
S&P 500,2022-03-30,4602.45
S&P 500,2022-03-31,4530.41
S&P 500,2022-04-01,4545.86
S&P 500,2022-04-04,4582.64
S&P 500,2022-04-05,4525.12
S&P 500,2022-04-06,4481.15
S&P 500,2022-04-07,4500.21
S&P 500,2022-04-08,4488.28
S&P 500,2022-04-11,4412.53
S&P 500,2022-04-12,4397.45
S&P 500,2022-04-13,4446.59
S&P 500,2022-04-14,4392.59
S&P 500,2022-04-18,4391.69
S&P 500,2022-04-19,4462.21
S&P 500,2022-04-20,4459.45
S&P 500,2022-04-21,4393.66
S&P 500,2022-04-22,4271.78
S&P 500,2022-04-25,4296.12
S&P 500,2022-04-26,4175.2
S&P 500,2022-04-27,4183.96
S&P 500,2022-04-28,4287.5
S&P 500,2022-04-29,4131.93
S&P 500,2022-05-02,4155.38
S&P 500,2022-05-03,4175.48
S&P 500,2022-05-04,4300.17
S&P 500,2022-05-05,4146.87
S&P 500,2022-05-06,4123.34
S&P 500,2022-05-09,3991.24
S&P 500,2022-05-10,4001.05
S&P 500,2022-05-11,3935.18
S&P 500,2022-05-12,3930.08
S&P 500,2022-05-13,4023.89
S&P 500,2022-05-16,4008.01
S&P 500,2022-05-17,4088.85
S&P 500,2022-05-18,3923.68
S&P 500,2022-05-19,3900.79
S&P 500,2022-05-20,3901.36
S&P 500,2022-05-23,3973.75
S&P 500,2022-05-24,3941.48
S&P 500,2022-05-25,3978.73
S&P 500,2022-05-26,4057.84
S&P 500,2022-05-27,4158.24
S&P 500,2022-05-31,4132.15
S&P 500,2022-06-01,4101.23
S&P 500,2022-06-02,4176.82
S&P 500,2022-06-03,4108.54
S&P 500,2022-06-06,4121.43
S&P 500,2022-06-07,4160.68
S&P 500,2022-06-08,4115.77
S&P 500,2022-06-09,4017.82
S&P 500,2022-06-10,3900.86
S&P 500,2022-06-13,3749.63
S&P 500,2022-06-14,3735.48
S&P 500,2022-06-15,3789.99
S&P 500,2022-06-16,3666.77
S&P 500,2022-06-17,3674.84
S&P 500,2022-06-21,3764.79
S&P 500,2022-06-22,3759.89
S&P 500,2022-06-23,3795.73
S&P 500,2022-06-24,3911.74
S&P 500,2022-06-27,3900.11
S&P 500,2022-06-28,3821.55
