종목코드,종목명,시장,업종,현재가,전일대비,등락률,갱신시각
000020,동화약품,유가,의약품 제조업,5150,0,0.00,2026-09-16 08:41
000040,KR모터스,유가,그외 기타 운송장비 제조업,1106,0,0.00,2026-09-16 08:41
000050,경방,유가,종합 소매업,8180,0,0.00,2026-09-16 08:41
000070,삼양홀딩스,유가,기타 금융업,59800,0,0.00,2026-09-16 08:41
000080,하이트진로,유가,알코올음료 제조업,15120,0,0.00,2026-09-16 08:41
000087,하이트진로2우B,유가,알코올음료 제조업,12410,0,0.00,2026-09-16 08:41
000100,유한양행,유가,의약품 제조업,79300,0,0.00,2026-09-16 08:41
000105,유한양행우,유가,의약품 제조업,68200,0,0.00,2026-09-16 08:41
000120,CJ대한통운,유가,도로 화물 운송업,71700,0,0.00,2026-09-16 08:41
000140,하이트진로홀딩스,유가,기타 금융업,7930,0,0.00,2026-09-16 08:41
000145,하이트진로홀딩스우,유가,기타 금융업,9250,0,0.00,2026-09-16 08:41
000150,두산,유가,전자부품 제조업,1289000,0,0.00,2026-09-16 08:41
000155,두산우,유가,전자부품 제조업,429500,0,0.00,2026-09-16 08:41
000157,두산2우B,유가,전자부품 제조업,350500,0,0.00,2026-09-16 08:41
000180,성창기업지주,유가,회사 본부 및 경영 컨설팅 서비스업,5100,0,0.00,2026-09-16 08:41
0001A0,덕양에너젠,코스닥,연료용 가스 제조 및 배관공급업,8580,0,0.00,2026-09-16 08:41
000210,DL,유가,기초 화학물질 제조업,53500,0,0.00,2026-09-16 08:41
000215,DL우,유가,기초 화학물질 제조업,25000,0,0.00,2026-09-16 08:41
000220,유유제약,유가,의약품 제조업,3830,0,0.00,2026-09-16 08:41
000225,유유제약1우,유가,의약품 제조업,3750,0,0.00,2026-09-16 08:41
000227,유유제약2우B,유가,의약품 제조업,7760,0,0.00,2026-09-16 08:41
000230,일동홀딩스,유가,의약품 제조업,6030,0,0.00,2026-09-16 08:41
000240,한국앤컴퍼니,유가,기타 금융업,24200,0,0.00,2026-09-16 08:41
000250,삼천당제약,코스닥,의약품 제조업,157500,0,0.00,2026-09-16 08:41
000270,기아,유가,자동차용 엔진 및 자동차 제조업,121800,0,0.00,2026-09-16 08:41
000300,DH오토넥스,유가,자동차 신품 부품 제조업,4200,0,0.00,2026-09-16 08:41
000320,노루홀딩스,유가,기타 금융업,16230,0,0.00,2026-09-16 08:41
000325,노루홀딩스우,유가,기타 금융업,28050,0,0.00,2026-09-16 08:41
000370,한화손해보험,유가,보험업,8320,0,0.00,2026-09-16 08:41
000390,SP삼화,유가,기타 화학제품 제조업,6780,0,0.00,2026-09-16 08:41
000400,롯데손해보험,유가,보험업,2045,0,0.00,2026-09-16 08:41
000430,대원강업,유가,자동차 신품 부품 제조업,4845,0,0.00,2026-09-16 08:41
000440,중앙에너비스,코스닥,기타 전문 도매업,13250,0,0.00,2026-09-16 08:41
000480,CR홀딩스,유가,"내화, 비내화 요업제품 제조업",4395,0,0.00,2026-09-16 08:41
000490,대동,유가,특수 목적용 기계 제조업,7930,0,0.00,2026-09-16 08:41
0004V0,엔비알모션,코스닥,기타 금속 가공제품 제조업,5740,0,0.00,2026-09-16 08:41
0004Y0,디비금융제14호스팩,코스닥,기타 금융업,1993,0,0.00,2026-09-16 08:41
000500,가온전선,유가,절연선 및 케이블 제조업,240000,0,0.00,2026-09-16 08:41
000520,삼일제약,유가,의약품 제조업,7010,0,0.00,2026-09-16 08:41
000540,흥국화재,유가,보험업,3615,0,0.00,2026-09-16 08:41
000545,흥국화재우,유가,보험업,5880,0,0.00,2026-09-16 08:41
000590,CS홀딩스,유가,기타 금융업,68000,0,0.00,2026-09-16 08:41
000640,동아쏘시오홀딩스,유가,기타 금융업,94400,0,0.00,2026-09-16 08:41
000650,천일고속,유가,육상 여객 운송업,140000,0,0.00,2026-09-16 08:41
000660,SK하이닉스,유가,반도체 제조업,1690000,0,0.00,2026-09-16 08:41
000670,영풍,유가,1차 비철금속 제조업,50500,0,0.00,2026-09-16 08:41
000680,LS네트웍스,유가,상품 종합 도매업,2925,0,0.00,2026-09-16 08:41
000700,유수홀딩스,유가,회사 본부 및 경영 컨설팅 서비스업,6490,0,0.00,2026-09-16 08:41
000720,현대건설,유가,토목 건설업,128100,0,0.00,2026-09-16 08:41
000725,현대건설우,유가,토목 건설업,54100,0,0.00,2026-09-16 08:41
000760,이화산업,유가,기타 전문 도매업,13350,0,0.00,2026-09-16 08:41
0007C0,아크릴,코스닥,소프트웨어 개발 및 공급업,18350,0,0.00,2026-09-16 08:41
0007J0,인벤테라,코스닥,자연과학 및 공학 연구개발업,9520,0,0.00,2026-09-16 08:41
000810,삼성화재,유가,보험업,661000,0,0.00,2026-09-16 08:41
000815,삼성화재우,유가,보험업,412000,0,0.00,2026-09-16 08:41
000850,화천기공,유가,특수 목적용 기계 제조업,37600,0,0.00,2026-09-16 08:41
000860,강남제비스코,유가,기타 화학제품 제조업,12630,0,0.00,2026-09-16 08:41
000880,한화,유가,기타 화학제품 제조업,137100,0,0.00,2026-09-16 08:41
000890,보해양조,유가,알코올음료 제조업,1333,0,0.00,2026-09-16 08:41
0008Z0,에스엔시스,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",23750,0,0.00,2026-09-16 08:41
